机构名称,类型,板块,注册地,保荐机构,保荐代表人,律师事务所,签字律师,会计师事务所,签字会计师,是否提交财务自查报告,所属行业,日期,xxx,时间戳,简称,文件链接
青岛伟隆阀门,已反馈,中小板,青岛,宏信证券有限责任公司,刘亮&sbquo;任滨,北京国枫律师事务所,马哲&sbquo;薛玉婷,山东和信会计师事务所(特殊普通合伙),刘学伟&sbquo;王丽敏,是,通用设备制造业,2017/2/23,80437104,AN201704260533863379,qdwlfm,https://notice.eastmoney.com/pdffile/web/H2_AN201704260533863379_1.pdf
青岛伟隆阀门,预先披露更新,中小板,青岛,宏信证券有限责任公司,刘亮&sbquo;任滨,北京国枫律师事务所,马哲&sbquo;薛玉婷,山东和信会计师事务所(特殊普通合伙),刘学伟&sbquo;王丽敏,是,通用设备制造业,2017/3/30,80437104,AN201704260533863379,qdwlfm,https://notice.eastmoney.com/pdffile/web/H2_AN201704260533863379_1.pdf
青岛伟隆阀门,已通过发审会,中小板,青岛,宏信证券有限责任公司,刘亮&sbquo;任滨,北京国枫律师事务所,马哲&sbquo;薛玉婷,山东和信会计师事务所(特殊普通合伙),刘学伟&sbquo;王丽敏,是,通用设备制造业,2017/4/13,80437104,AN201704260533863379,qdwlfm,https://notice.eastmoney.com/pdffile/web/H2_AN201704260533863379_1.pdf
青岛农村商业银行,已受理,中小板,青岛,招商证券股份有限公司,吴喻慧&sbquo;宁博,江苏世纪同仁律师事务所,徐蓓蓓&sbquo;蔡含含,毕马威华振会计师事务所(特殊普通合伙),王立鹏&sbquo;黄艾舟,否,货币金融服务,2017/1/12,80289654,AN201902181297803352,qdncsyyx,https://notice.eastmoney.com/pdffile/web/H2_AN201902181297803352_1.pdf
青岛农村商业银行,已反馈,中小板,青岛,招商证券股份有限公司,吴喻慧&sbquo;宁博,江苏世纪同仁律师事务所,徐蓓蓓&sbquo;蔡含含,毕马威华振会计师事务所(特殊普通合伙),王立鹏&sbquo;黄艾舟,是,货币金融服务,2017/10/12,80289654,AN201902181297803352,qdncsyyx,https://notice.eastmoney.com/pdffile/web/H2_AN201902181297803352_1.pdf
青岛农村商业银行,预先披露更新,中小板,青岛,招商证券股份有限公司,吴喻慧&sbquo;宁博,江苏世纪同仁律师事务所,徐蓓蓓&sbquo;蔡含含,毕马威华振会计师事务所(特殊普通合伙),王立鹏&sbquo;黄艾舟,是,货币金融服务,2018/1/11,80289654,AN201902181297803352,qdncsyyx,https://notice.eastmoney.com/pdffile/web/H2_AN201902181297803352_1.pdf
青岛农村商业银行,中止审查,中小板,青岛,招商证券股份有限公司,吴喻慧&sbquo;宁博,江苏世纪同仁律师事务所,徐蓓蓓&sbquo;蔡含含,毕马威华振会计师事务所(特殊普通合伙),王立鹏&sbquo;黄艾舟,是,货币金融服务,2018/10/25,80289654,AN201902181297803352,qdncsyyx,https://notice.eastmoney.com/pdffile/web/H2_AN201902181297803352_1.pdf
青岛农村商业银行,已通过发审会,中小板,青岛,招商证券股份有限公司,吴喻慧&sbquo;宁博,江苏世纪同仁律师事务所,徐蓓蓓&sbquo;蔡含含,毕马威华振会计师事务所(特殊普通合伙),王立鹏&sbquo;黄艾舟,是,货币金融服务,2018/11/22,80289654,AN201902181297803352,qdncsyyx,https://notice.eastmoney.com/pdffile/web/H2_AN201902181297803352_1.pdf
青岛利群百货集团,已通过发审会,主板企业,青岛,中信证券股份有限公司,王丹&sbquo;秦成栋,北京市金杜律师事务所,姜省路&sbquo;李萍,信永中和会计师事务所(特殊普通合伙),王贡勇&sbquo;阚京平,是,零售业,2017/1/12,80201650,AN201703270443022440,qdlqbhjt,https://notice.eastmoney.com/pdffile/web/H2_AN201703270443022440_1.pdf
青岛双鲸药业,已受理,中小板,,东兴证券股份有限公司,,北京国枫律师事务所,,容诚会计师事务所(特殊普通合伙),,否,,2019/6/20,80995305,AN201906211335999153,qdsjyy,https://notice.eastmoney.com/pdffile/web/H2_AN201906211335999153_1.pdf
青岛双鲸药业,已反馈,中小板,,东兴证券股份有限公司,,北京国枫律师事务所,,容诚会计师事务所(特殊普通合伙) ,,是,,2019/8/22,80995305,AN201906211335999153,qdsjyy,https://notice.eastmoney.com/pdffile/web/H2_AN201906211335999153_1.pdf
青岛威奥轨道,已受理,主板企业,,中信建投证券股份有限公司,,北京市中伦律师事务所,,致同会计师事务所(特殊普通合伙),,否,,2019/4/11,80895632,AN202005081379429044,qdwagd,https://notice.eastmoney.com/pdffile/web/H2_AN202005081379429044_1.pdf
青岛威奥轨道,已反馈,主板企业,,中信建投证券股份有限公司,,北京市中伦律师事务所,,致同会计师事务所(特殊普通合伙),,是,,2019/10/11,80895632,AN202005081379429044,qdwagd,https://notice.eastmoney.com/pdffile/web/H2_AN202005081379429044_1.pdf
青岛威奥轨道,预先披露更新,主板企业,,中信建投证券股份有限公司,,北京市中伦律师事务所,,致同会计师事务所(特殊普通合伙),,是,,2019/10/31,80895632,AN202005081379429044,qdwagd,https://notice.eastmoney.com/pdffile/web/H2_AN202005081379429044_1.pdf
青岛威奥轨道,已通过发审会,主板企业,,中信建投证券股份有限公司,,北京市中伦律师事务所,,致同会计师事务所(特殊普通合伙),,是,,2020/3/12,80895632,AN202005081379429044,qdwagd,https://notice.eastmoney.com/pdffile/web/H2_AN202005081379429044_1.pdf
青岛征和工业,已受理,中小板,青岛,中国国际金融股份有限公司,杨士佳&sbquo;石芳,北京市金杜律师事务所,李萍&sbquo;高怡敏,立信会计师事务所(特殊普通合伙),张松柏&sbquo;周盈,否,通用设备制造业,2017/1/12,80507564,AN202012281444574401,qdzhgy,https://notice.eastmoney.com/pdffile/web/H2_AN202012281444574401_1.pdf
青岛征和工业,已反馈,中小板,青岛,中国国际金融股份有限公司,杨士佳&sbquo;石芳,北京市金杜律师事务所,李萍&sbquo;高怡敏,立信会计师事务所(特殊普通合伙),张松柏&sbquo;周盈,否,通用设备制造业,2017/3/2,80507564,AN202012281444574401,qdzhgy,https://notice.eastmoney.com/pdffile/web/H2_AN202012281444574401_1.pdf
青岛征和工业,预先披露更新,中小板,,中国国际金融股份有限公司,,北京市金杜律师事务所,,立信会计师事务所(特殊普通合伙),,是,,2020/10/15,80507564,AN202012281444574401,qdzhgy,https://notice.eastmoney.com/pdffile/web/H2_AN202012281444574401_1.pdf
青岛征和工业,中止审查,中小板,青岛,中国国际金融股份有限公司,杨士佳&sbquo;石芳,北京市金杜律师事务所,李萍&sbquo;高怡敏,立信会计师事务所(特殊普通合伙),张松柏&sbquo;罗华勤,否,通用设备制造业,2017/3/16,80507564,AN202012281444574401,qdzhgy,https://notice.eastmoney.com/pdffile/web/H2_AN202012281444574401_1.pdf
青岛征和工业,已通过发审会,中小板,,中国国际金融股份有限公司,,北京市金杜律师事务所,,立信会计师事务所(特殊普通合伙),,是,,2020/11/26,80507564,AN202012281444574401,qdzhgy,https://notice.eastmoney.com/pdffile/web/H2_AN202012281444574401_1.pdf
