机构名称,类型,板块,注册地,保荐机构,保荐代表人,律师事务所,签字律师,会计师事务所,签字会计师,是否提交财务自查报告,所属行业,日期,xxx,时间戳,简称,文件链接
安徽马鞍山农村商业银行,已反馈,中小板,安徽,中信证券股份有限公司,赵文丛&sbquo;宋永新,上海市锦天城律师事务所,杨海峰&sbquo;张目强,立信会计师事务所(特殊普通合伙),孙晓爽&sbquo;杨俊玉,是,货币金融 服务,2019/3/28,80071837,AN201909051349082578,ahmasncsyyx,https://notice.eastmoney.com/pdffile/web/H2_AN201909051349082578_1.pdf
安徽省交通建设,预先披露更新,主板企业,安徽,国元证券股份有限公司,梁化彬&sbquo;刘晋华,安徽天禾律师事务所,张晓健&sbquo;李刚&sbquo;曹禹,华普天健会计师事务所(特殊普通合伙),王静&sbquo;黄敬臣&sbquo;屠灿,是,土木工程建筑业,2019/3/28,80138809,AN201909101353442490,ahsjtjs,https://notice.eastmoney.com/pdffile/web/H2_AN201909101353442490_1.pdf
安徽芯瑞达科技,已反馈,中小板,安徽,东海证券股份有限公司,彭江应&sbquo;江成祺,安徽承义律师事务所,夏旭东&sbquo;胡鸿杰,华普天健会计师事务所(特殊普通合伙),熊明峰&sbquo;冯炬,否,计算机、通信和其他电子设备制造业,2019/3/28,80958310,AN202004141378000853,ahxrdkj,https://notice.eastmoney.com/pdffile/web/H2_AN202004141378000853_1.pdf
安徽扬子地板,预先披露更新,中小板,安徽,国元证券股份有限公司,魏韫新&sbquo;王钢,北京金诚同达律师事务所,刘胤宏&sbquo;李红&sbquo;郑素文,华普天健会计师事务所(特殊普通合伙),张全心&sbquo;施琪璋&sbquo;朱浩,是,木材加工和木、竹、藤、棕、草制品业,2019/3/28,80203593,AN201712221069467023,ahyzdb,https://notice.eastmoney.com/pdffile/web/H2_AN201712221069467023_1.pdf
爱玛科技集团,已反馈,主板企业,天津,中信证券股份有限公司,栾培强&sbquo;秦国安,北京海润天睿律师事务所,杨雪&sbquo;王彩虹&sbquo;李爱清,安永华明会计师事务所(特殊普通合伙),张炯&sbquo;曹绮冰,是,铁路、船舶、航空航天和其他运输设备制造业,2019/3/28,80922526,AN201909051349082580,amkjjt,https://notice.eastmoney.com/pdffile/web/H2_AN201909051349082580_1.pdf
奥普家居,预先披露更新,主板企业,浙江,招商证券股份有限公司,张阳&sbquo;凌江红,上海市方达律师事务所,马强&sbquo;邱晨盛,天健会计师事务所(特殊普通合伙),叶卫民&sbquo;李锟,是,电气机械和器材制造业,2019/3/28,80703659,AN201912311373100120,apjj,https://notice.eastmoney.com/pdffile/web/H2_AN201912311373100120_1.pdf
北大青鸟环宇消防设备,已通过发审会,中小板,河北,广发证券股份有限公司,徐海林&sbquo;杜俊涛,北京市中咨律师事务所,蒋红毅&sbquo;彭亚峰,瑞华会计师事务所(特殊普通合伙),徐超玉&sbquo;李建长,是,计算机、通信和其他电子设备制造业,2019/3/28,80069208,AN201907281341526272,bdqnhyxfsb,https://notice.eastmoney.com/pdffile/web/H2_AN201907281341526272_1.pdf
八方电气(苏州),预先披露更新,主板企业,江苏,申万宏源证券承销保荐有限责任公司,王鹏&sbquo;黄学圣,国浩律师(上海)事务所,徐晨&sbquo;马敏英&sbquo;高菲,华普天健会计师事务所(特殊普通合伙),施琪璋&sbquo;李飞,是,电气机械和器材制造业,2019/3/28,80922529,AN201910071368140489,bfdqsz,https://notice.eastmoney.com/pdffile/web/H2_AN201910071368140489_1.pdf
北京北摩高科摩擦材料,已反馈,中小板,北京,长江证券承销保荐有限公司,张硕&sbquo;孔令瑞,陕西标典律师事务所,肖玉娟&sbquo;刘海芳,立信会计师事务所(特殊普通合伙),张金华&sbquo;王二华,否,铁路、船舶、航空航天和其他运输设备制造业,2019/3/28,80117260,AN202004141378000858,bjbmgkmccl,https://notice.eastmoney.com/pdffile/web/H2_AN202004141378000858_1.pdf
北京国联视讯信息技术,预先披露更新,主板企业,北京,西部证券股份有限公司,李超&sbquo;张锡锋,北京德恒律师事务所,孙艳利&sbquo;齐欣,立信会计师事务所(特殊普通合伙),郭健&sbquo;王晓燕,是,互联网和相关服务,2019/3/28,80400473,AN201907171339063966,bjglsxxxjs,https://notice.eastmoney.com/pdffile/web/H2_AN201907171339063966_1.pdf
北京嘉曼服饰,预先披露更新,中小板,北京,华英证券有限责任公司,宋卓&sbquo;吴春玲,北京市中伦律师事务所,陈益文&sbquo;彭林,立信会计师事务所(特殊普通合伙),冯万奇&sbquo;李福兴,是,纺织服装、服饰业,2019/3/28,80897656,AN202012311445940120,bjjmfs,https://notice.eastmoney.com/pdffile/web/H2_AN202012311445940120_1.pdf
北京万泰生物药业,已反馈,主板企业,北京,国金证券股份有限公司,唐蕾&sbquo;朱国民,北京市中伦律师事务所,孙为&sbquo;张迪,瑞华会计师事务所(特殊普通合伙),杨敢林&sbquo;张莉萍,是,医药制造业,2019/3/28,80146009,AN202004141377938813,bjwtswyy,https://notice.eastmoney.com/pdffile/web/H2_AN202004141377938813_1.pdf
北京元六鸿远电子科技,已通过发审会,主板企业,北京,国泰君安证券股份有限公司,姚巍巍&sbquo;傅冠男,北京市海润律师事务所,黄浩&sbquo;陈湘玉,瑞华会计师事务所(特殊普通合伙),罗军&sbquo;崔迎,是,计算机、通信和其他电子设备制造业,2019/3/28,80644488,AN201904281323783246,bjylhydzkj,https://notice.eastmoney.com/pdffile/web/H2_AN201904281323783246_1.pdf
博纳影业集团,已反馈,中小板,新疆,华龙证券股份有限公司,王新强&sbquo;陈立浩,北京市通商律师事务所,吴刚&sbquo;杨敏,瑞华会计师事务所(特殊普通合伙),邓登峰&sbquo;刘剑华,是,广播、电视、电影和影视录音制作业,2019/3/28,80701793,AN202008241401071931,bnyyjt*,https://notice.eastmoney.com/pdffile/web/H2_AN202008241401071931_1.pdf
北洋出版传媒,预先披露更新,主板企业,河北,中国国际金融股份有限公司,马青海&sbquo;赵沛霖,北京市海问律师事务所,高巍&sbquo;杜宁,瑞华会计师事务所(特殊普通合伙),王需如&sbquo;姚欣,是,新闻和出版业,2019/3/28,80366787,AN201710130950643406,bycbcm,https://notice.eastmoney.com/pdffile/web/H2_AN201710130950643406_1.pdf
亳州药都农村商业银行,预先披露更新,主板企业,安徽,华泰联合证券有限责任公司,张永言&sbquo;陈嘉,北京德恒律师事务所,孙艳利&sbquo;李晓新,瑞华会计师事务所(特殊普通合伙),潘新华&sbquo;张莉萍,是,货币金融服务,2019/3/28,80147421,AN201810091209841424,bzydncsyyx,https://notice.eastmoney.com/pdffile/web/H2_AN201810091209841424_1.pdf
成都燃气集团,预先披露更新,主板企业,四川,中信建投证券股份有限公司,李鑫&sbquo;张钟伟,北京金诚同达律师事务所,刘胤宏&sbquo;郑晓东&sbquo;唐晓风&sbquo;郑素文,德勤华永会计师事务所(特殊普通合伙),陆京泽&sbquo;凌滟,是,燃气生产和供应业,2019/3/28,80130300,AN201912021371304381,cdrqjt*,https://notice.eastmoney.com/pdffile/web/H2_AN201912021371304381_1.pdf
成都天箭科技,已反馈,中小板,四川,中信建投证券股份有限公司,唐云&sbquo;严林娟,北京市中伦律师事务所,金奂佶&sbquo;王成&sbquo;赵科星&sbquo;汤士永,立信中联会计师事务所(特殊普通合伙),黄小丁&sbquo;李春玉,是,计算机、通信和其他电子设备制造业,2019/3/28,80959937,AN202003021375748880,cdtjkj*,https://notice.eastmoney.com/pdffile/web/H2_AN202003021375748880_1.pdf
常州市凯迪电器,已反馈,主板企业,江苏,中信建投证券股份有限公司,胡海平&sbquo;李彦斌,浙江天册律师事务所,孔瑾&sbquo;王鑫睿,天健会计师事务所(特殊普通合伙),沈培强&sbquo;胡青,否,电气机械和器材制造业,2019/3/28,80975289,AN202005171379856182,czskddq,https://notice.eastmoney.com/pdffile/web/H2_AN202005171379856182_1.pdf
东莞市奥海科技,已受理,中小板,广东,国金证券股份有限公司,余烯键&sbquo;幸思春,广东信达律师事务所,张炯&sbquo;宋幸幸,瑞华会计师事务所(特殊普通合伙),黄绍煌&sbquo;朱爱银,否,计算机、通信和其他电子设备制造业,2019/3/28,80989214,AN202007301395378126,dgsahkj,https://notice.eastmoney.com/pdffile/web/H2_AN202007301395378126_1.pdf
东莞银行,已受理,中小板,广东,招商证券股份有限公司,吴喻慧&sbquo;陈昕,江苏世纪同仁律师事务所,徐蓓蓓&sbquo;贾仟仞,毕马威华振会计师事务所(特殊普通合伙),黄艾舟&sbquo;李嘉莉,否,货币金融服务,2019/3/28,80058609,AN201911061370459950,dgyx,https://notice.eastmoney.com/pdffile/web/H2_AN201911061370459950_1.pdf
东莞证券,中止审查,中小板,广东,东方花旗证券有限公司,陈睿&sbquo;魏浣忠,国浩律师(北京)事务所,张鼎映&sbquo;张冉,中审众环会计师事务所(特殊普通合伙),龚静伟&sbquo;王兵,是,资本市场服务,2019/3/28,80000081,AN201701110259653115,dgzq,https://notice.eastmoney.com/pdffile/web/H2_AN201701110259653115_1.pdf
大连万达商业地产,中止审查,主板企业,大连,中国银河证券股份有限公司&sbquo;中国国际金融股份有限公司,王红兵&sbquo;龙亮&sbquo;欧阳祖军&sbquo;刘丹,北京市天元律师事务所,许亮&sbquo;郑敏俐&sbquo;张征,大华会计师事务所(特殊普通合伙),付丽君&sbquo;杨卫国,是,房地产业,2019/3/28,80161192,AN201511130011407869,dlwdsydc,https://notice.eastmoney.com/pdffile/web/H2_AN201511130011407869_1.pdf
福州瑞芯微电子,已反馈,主板企业,福建,兴业证券股份有限公司,黄超&sbquo;李斌,北京国枫律师事务所,郭昕&sbquo;杜莉莉,天健会计师事务所(特殊普通合伙),倪国君&sbquo;李宗韡,是,计算机、通信和其他电子设备制造业,2019/3/28,80511080,AN202001171374268772,fzrxwdz,https://notice.eastmoney.com/pdffile/web/H2_AN202001171374268772_1.pdf
广东朝阳电子科技,已反馈,中小板,广东,民生证券股份有限公司,秦荣庆&sbquo;孔强,广东广信君达律师事务所,赵剑发&sbquo;王春平&sbquo;鲁莎莎,广东正中珠江会计师事务所(特殊普通合伙),刘火旺&sbquo;杨诗学,否,计算机、通信和其他电子设备制造业,2019/3/28,80637366,AN202004061377669469,gdcydzkj,https://notice.eastmoney.com/pdffile/web/H2_AN202004061377669469_1.pdf
广东东鹏控股,预先披露更新,中小板,广东,中国国际金融股份有限公司,章志皓&sbquo;潘志兵,北京市金杜律师事务所,龚牧龙&sbquo;蔺志军&sbquo;胡一舟,德勤华永会计师事务所(特殊普通合伙),刘佩珍&sbquo;袁君愉,是,非金属矿物质制造业,2019/3/28,80684597,AN202009271417787018,gddpkg,https://notice.eastmoney.com/pdffile/web/H2_AN202009271417787018_1.pdf
广东华冠新型材料,已反馈,主板企业,广东,东方花旗证券有限公司,李仅&sbquo;张正平,北京市康达律师事务所,苗丁&sbquo;刘亚鑫&sbquo;李冲,中勤万信会计师事务所(特殊普通合伙),石朝欣&sbquo;陈明生,否,金属制品业,2019/3/28,80701785,AN201812211275638028,gdhgxxcl,https://notice.eastmoney.com/pdffile/web/H2_AN201812211275638028_1.pdf
广东景兴健康护理实业,预先披露更新,主板企业,广东,广发证券股份有限公司,王国威&sbquo;夏晓辉,广东信达律师事务所,李瑮蛟&sbquo;赫敏&sbquo;万利民,广东正中珠江会计师事务所(特殊普通合伙),安霞&sbquo;徐俊,是,造纸和纸制品业,2019/3/28,80920911,AN201812271279877346,gdjxjkhlsy,https://notice.eastmoney.com/pdffile/web/H2_AN201812271279877346_1.pdf
广东趣炫网络,预先披露更新,主板企业,广东,广发证券股份有限公司,何尔璇&sbquo;吕绍昱,国浩律师(广州)事务所,李彩霞&sbquo;周姗姗,广东正中珠江会计师事务所(特殊普通合伙),洪文伟&sbquo;郭小军,是,软件和信息技术服务业,2019/3/28,80650862,AN201804121122139444,gdqxwl,https://notice.eastmoney.com/pdffile/web/H2_AN201804121122139444_1.pdf
广东日丰电缆,已通过发审会,中小板,广东,东莞证券股份有限公司,袁炜&sbquo;郭天顺,北京国枫律师事务所,周涛&sbquo;黄泽涛,广东正中珠江会计师事务所(特殊普通合伙),王韶华&sbquo;陈丹燕,是,电气机械和器材制造业,2019/3/28,80401345,AN201904231321280106,gdrfdl,https://notice.eastmoney.com/pdffile/web/H2_AN201904231321280106_1.pdf
