机构名称,类型,板块,注册地,保荐机构,保荐代表人,律师事务所,签字律师,会计师事务所,签字会计师,是否提交财务自查报告,所属行业,日期,xxx,时间戳,简称,文件链接
安徽长城军工,已通过发审会,主板企业,安徽,东海证券股份有限公司,戴洛飞&sbquo;郭婧,北京市天元律师事务所,蔡厚明&sbquo;霍雨佳,北京中证天通会计师事务所有限公司,陈少明&sbquo;赵权,是,制造业,2018/1/11,80357616,AN201807231169314578,ahccjg,https://notice.eastmoney.com/pdffile/web/H2_AN201807231169314578_1.pdf
安徽宁国晨光精工,已反馈,主板企业,安徽,国元证券股份有限公司,于晓丹&sbquo;张琳,上海市锦天城律师事务所,李云龙&sbquo;李和金,天职国际会计师事务所(特殊普通合伙),周学民&sbquo;文冬梅,是,汽车制造业,2018/1/11,80405254,AN201709290920799065,ahngcgjg,https://notice.eastmoney.com/pdffile/web/H2_AN201709290920799065_1.pdf
安徽省安泰科技,已反馈,中小板,安徽,海通证券股份有限公司,张捷&sbquo;陈星宙,安徽天禾律师事务所,张大林&sbquo;费林森&sbquo;刘倩怡,华普天健会计师事务所(特殊普通合伙),王静&sbquo;卢珍&sbquo;孔晶晶,是,软件和信息技术服务业,2018/1/11,80348655,AN201706160652263848,ahsatkj,https://notice.eastmoney.com/pdffile/web/H2_AN201706160652263848_1.pdf
安徽天大环保新材料,已受理,主板企业,安徽,东兴证券股份有限公司,曾冠&sbquo;王会然,北京市君合律师事务所,邵春阳&sbquo;冯诚,大华会计师事务所(特殊普通合伙),方维翔&sbquo;杜迎花,否,橡胶和塑料制品业,2018/1/11,80732963,AN201712151067027972,ahtdhbxcl,https://notice.eastmoney.com/pdffile/web/H2_AN201712151067027972_1.pdf
安徽太平洋电缆,已反馈,主板企业,安徽,申万宏源证券承销保荐有限责任公司,邱枫&sbquo;黄学圣,安徽天禾律师事务所,卢贤榕&sbquo;徐兵,瑞华会计师事务所(特殊普通合伙),何晖&sbquo;黄庆文,是,电气机械和器材制造业,2018/1/11,80648468,AN201706230665575298,ahtpydl,https://notice.eastmoney.com/pdffile/web/H2_AN201706230665575298_1.pdf
安徽万朗磁塑,已反馈,主板企业,安徽,国元证券股份有限公司,陶传标&sbquo;马辉,北京市万商天勤律师事务所,颜强&sbquo;颜彬&sbquo;袁成,大华会计师事务所(特殊普通合伙),吕秋萍&sbquo;陈泓洲,是,橡胶和塑料制品业,2018/1/11,80188700,AN201801231080959484,ahwlcs,https://notice.eastmoney.com/pdffile/web/H2_AN201801231080959484_1.pdf
安徽扬子地板,预先披露更新,中小板,安徽,国元证券股份有限公司,魏韫新&sbquo;王钢,北京金诚同达律师事务所,刘胤宏&sbquo;李红&sbquo;郑素文,华普天健会计师事务所(特殊普通合伙),张全心&sbquo;施琪璋&sbquo;朱浩,是,木材加工和木、竹、藤、棕、草制品业,2018/1/11,80203593,AN201712221069467023,ahyzdb,https://notice.eastmoney.com/pdffile/web/H2_AN201712221069467023_1.pdf
奥美医疗用品,已受理,中小板,湖北,中信证券股份有限公司,李永柱&sbquo;史松祥,北京市嘉源律师事务所,文梁娟&sbquo;韦佩,立信会计师事务所(特殊普通合伙),李璟&sbquo;张金华,是,专用设备制造业,2018/1/11,80718110,AN201902251299927781,amylyp,https://notice.eastmoney.com/pdffile/web/H2_AN201902251299927781_1.pdf
安佑生物科技集团,已反馈,主板企业,江苏,海际证券有限责任公司,李高超&sbquo;陈东阳,北京市海润律师事务所,雷富阳&sbquo;吴光洋,大华会计师事务所(特殊普通合伙),邱俊洲&sbquo;曾星,是,农副食品加工业,2018/1/11,80491316,AN201801160012983670,ayswkjjt,https://notice.eastmoney.com/pdffile/web/H2_AN201801160012983670_1.pdf
北大青鸟环宇消防设备,已通过发审会,中小板,河北,广发证券股份有限公司,徐海林&sbquo;杜俊涛,北京市中咨律师事务所,蒋红毅&sbquo;彭亚峰,瑞华会计师事务所(特殊普通合伙),徐超玉&sbquo;李建长,是,计算机、通信和其他电子设备制造业,2018/1/11,80069208,AN201907281341526272,bdqnhyxfsb,https://notice.eastmoney.com/pdffile/web/H2_AN201907281341526272_1.pdf
