机构名称,类型,板块,注册地,保荐机构,保荐代表人,律师事务所,签字律师,会计师事务所,签字会计师,是否提交财务自查报告,所属行业,日期,xxx,时间戳,简称,文件链接
安福县海能实业,中止审查,主板企业,江西,中信证券股份有限公司,刘顺明&sbquo;孙洋,北京市君合律师事务所,张建伟&sbquo;胡义锦,瑞华会计师事务所(特殊普通合伙),杨海涛&sbquo;黄跃森,是,计算机、通信和其他电子设备制造业,2017/6/1,80431588,AN201908041342309601,afxhnsy,https://notice.eastmoney.com/pdffile/web/H2_AN201908041342309601_1.pdf
安徽长城军工,已通过发审会,主板企业,安徽,东海证券股份有限公司,戴洛飞&sbquo;郭婧,北京市天元律师事务所,蔡厚明&sbquo;霍雨佳,北京中证天通会计师事务所有限公司,陈少明&sbquo;赵权,是,制造业,2017/6/1,80357616,AN201807231169314578,ahccjg,https://notice.eastmoney.com/pdffile/web/H2_AN201807231169314578_1.pdf
安徽华恒生物科技,已反馈,主板企业,安徽,中泰证券股份有限公司,李虎&sbquo;孙晓刚,安徽天禾律师事务所,祝传颂&sbquo;程帆,华普天健会计师事务所(特殊普通合伙),王静&sbquo;黄敬臣&sbquo;熊延森,是,化学原料和化学制品制造业,2017/6/1,80373826,AN202101281455490540,ahhhswkj,https://notice.eastmoney.com/pdffile/web/H2_AN202101281455490540_1.pdf
安徽省交通规划设计研究总院,预先披露更新,主板企业,安徽,国元证券股份有限公司,孔晶晶&sbquo;佘超,安徽天禾律师事务所,蒋敏&sbquo;张晓健&sbquo;王炜,华普天健会计师事务所(特殊普通合伙),王静&sbquo;黄敬臣&sbquo;王书彦,是,专业技术服务业,2017/6/1,80115571,AN201707180727296517,ahsjtghsjyjzy,https://notice.eastmoney.com/pdffile/web/H2_AN201707180727296517_1.pdf
安徽扬子地板,已反馈,中小板,安徽,国元证券股份有限公司,魏韫新&sbquo;王钢,北京金诚同达律师事务所,刘胤宏&sbquo;李红&sbquo;郑素文,华普天健会计师事务所(特殊普通合伙),张全心&sbquo;施琪璋&sbquo;朱浩,否,木材加工和木、竹、藤、棕、草制品业,2017/6/1,80203593,AN201712221069467023,ahyzdb,https://notice.eastmoney.com/pdffile/web/H2_AN201712221069467023_1.pdf
安徽众源新材料,已反馈,主板企业,安徽,国元证券股份有限公司,武军&sbquo;贾世宝,安徽天禾律师事务所,祝传颂&sbquo;陈明,华普天健会计师事务所(特殊普通合伙),张婕&sbquo;刘勇&sbquo;姚海士,是,有色金属冶炼和压延加工业,2017/6/1,80417983,AN201708220820696271,ahzyxcl,https://notice.eastmoney.com/pdffile/web/H2_AN201708220820696271_1.pdf
爱柯迪,已受理,主板企业,宁波,国金证券股份有限公司,吴小鸣&sbquo;谭军,通力律师事务所,翁晓健&sbquo;李仲英,瑞华会计师事务所(特殊普通合伙),杨峰安&sbquo;任明果,是,汽车制造业,2017/6/1,80452535,AN201711051015446277,akd,https://notice.eastmoney.com/pdffile/web/H2_AN201711051015446277_1.pdf
奥士康科技,已反馈,中小板,湖南,国信证券股份有限公司,魏安胜&sbquo;王新仪,北京市金杜律师事务所,潘渝嘉&sbquo;王建学,天职国际会计师事务所(特殊普通合伙),陈志刚&sbquo;王守军&sbquo;郭龙,是,计算机、通信和其他电子设备制造业,2017/6/1,80542763,AN201711201053206904,askkj,https://notice.eastmoney.com/pdffile/web/H2_AN201711201053206904_1.pdf
安佑生物科技集团,中止审查,主板企业,江苏,西南证券股份有限公司,赵炜&sbquo;李高超,北京市天元律师事务所,马少辉&sbquo;雷富阳,大华会计师事务所(特殊普通合伙),邱俊洲&sbquo;曾星,是,农副食品加工业,2017/6/1,80491316,AN201801160012983670,ayswkjjt,https://notice.eastmoney.com/pdffile/web/H2_AN201801160012983670_1.pdf
北大青鸟环宇消防设备,已通过发审会,中小板,河北,广发证券股份有限公司,徐海林&sbquo;杜俊涛,北京市中咨律师事务所,蒋红毅&sbquo;彭亚峰,瑞华会计师事务所(特殊普通合伙),徐超玉&sbquo;李建长,是,计算机、通信和其他电子设备制造业,2017/6/1,80069208,AN201907281341526272,bdqnhyxfsb,https://notice.eastmoney.com/pdffile/web/H2_AN201907281341526272_1.pdf
