机构名称,类型,板块,注册地,保荐机构,保荐代表人,律师事务所,签字律师,会计师事务所,签字会计师,是否提交财务自查报告,所属行业,日期,xxx,时间戳,简称,文件链接
安徽马鞍山农村商业银行,已反馈,中小板,,中信证券股份有限公司,,上海市锦天城律师事务所,,立信会计师事务所(特殊普通合伙),,是,,2019/6/27,80071837,AN201909051349082578,ahmasncsyyx,https://notice.eastmoney.com/pdffile/web/H2_AN201909051349082578_1.pdf
安徽省交通建设,预先披露更新,主板企业,,国元证券股份有限公司,,安徽天禾律师事务所,,华普天健会计师事务所(特殊普通合伙),,是,,2019/6/27,80138809,AN201909101353442490,ahsjtjs,https://notice.eastmoney.com/pdffile/web/H2_AN201909101353442490_1.pdf
安徽芯瑞达科技,已反馈,中小板,,东海证券股份有限公司,,安徽承义律师事务所,,华普天健会计师事务所(特殊普通合伙),,是,,2019/6/27,80958310,AN202004141378000853,ahxrdkj,https://notice.eastmoney.com/pdffile/web/H2_AN202004141378000853_1.pdf
安徽扬子地板,预先披露更新,中小板,,国元证券股份有限公司,,北京金诚同达律师事务所,,华普天健会计师事务所(特殊普通合伙),,是,,2019/6/27,80203593,AN201712221069467023,ahyzdb,https://notice.eastmoney.com/pdffile/web/H2_AN201712221069467023_1.pdf
爱玛科技集团,已反馈,主板企业,,中信证券股份有限公司,,北京海润天睿律师事务所,,安永华明会计师事务所(特殊普通合伙),,是,,2019/6/27,80922526,AN201909051349082580,amkjjt,https://notice.eastmoney.com/pdffile/web/H2_AN201909051349082580_1.pdf
奥普家居,预先披露更新,主板企业,,招商证券股份有限公司,,上海市方达律师事务所,,天健会计师事务所(特殊普通合伙),,是,,2019/6/27,80703659,AN201912311373100120,apjj,https://notice.eastmoney.com/pdffile/web/H2_AN201912311373100120_1.pdf
奥锐特药业,已受理,主板企业,,安信证券股份有限公司,,国浩律师(杭州)事务所,,天健会计师事务所(特殊普通合伙),,否,,2019/6/27,80994682,AN202009081409075876,artyy,https://notice.eastmoney.com/pdffile/web/H2_AN202009081409075876_1.pdf
北大荒垦丰种业,已受理,主板企业,,中国银河证券股份有限公司,,北京市中伦律师事务所,,大信会计师事务所(特殊普通合伙),,否,,2019/6/27,80364320,AN201906281336805655,bdhkfzy,https://notice.eastmoney.com/pdffile/web/H2_AN201906281336805655_1.pdf
北大青鸟环宇消防设备,已通过发审会,中小板,,广发证券股份有限公司,,北京市中咨律师事务所,,瑞华会计师事务所(特殊普通合伙),,是,,2019/6/27,80069208,AN201907281341526272,bdqnhyxfsb,https://notice.eastmoney.com/pdffile/web/H2_AN201907281341526272_1.pdf
八方电气(苏州),预先披露更新,主板企业,,申万宏源证券承销保荐有限责任公司,,国浩律师(上海)事务所,,华普天健会计师事务所(特殊普通合伙),,是,,2019/6/27,80922529,AN201910071368140489,bfdqsz,https://notice.eastmoney.com/pdffile/web/H2_AN201910071368140489_1.pdf
北京北摩高科摩擦材料,已反馈,中小板,,长江证券承销保荐有限公司,,陕西标典律师事务所,,立信会计师事务所(特殊普通合伙),,是,,2019/6/27,80117260,AN202004141378000858,bjbmgkmccl,https://notice.eastmoney.com/pdffile/web/H2_AN202004141378000858_1.pdf
北京城建设计发展集团,已受理,主板企业,,中信证券股份有限公司,,北京市海问律师事务所,,安永华明会计师事务所(特殊普通合伙,,否,,2019/6/27,80374117,AN201906281336804639,bjcjsjfzjt,https://notice.eastmoney.com/pdffile/web/H2_AN201906281336804639_1.pdf
北京国联视讯信息技术,已通过发审会,主板企业,,西部证券股份有限公司,,北京德恒律师事务所,,立信会计师事务所(特殊普通合伙),,是,,2019/6/27,80400473,AN201907171339063966,bjglsxxxjs,https://notice.eastmoney.com/pdffile/web/H2_AN201907171339063966_1.pdf
