机构名称,类型,板块,注册地,保荐机构,保荐代表人,律师事务所,签字律师,会计师事务所,签字会计师,是否提交财务自查报告,所属行业,日期,xxx,时间戳,简称,文件链接
安徽马鞍山农村商业银行,已反馈,中小板,,中信证券股份有限公司,,上海市锦天城律师事务所,,立信会计师事务所(特殊普通合伙),,是,,2019/4/18,80071837,AN201909051349082578,ahmasncsyyx,https://notice.eastmoney.com/pdffile/web/H2_AN201909051349082578_1.pdf
安徽省交通建设,预先披露更新,主板企业,,国元证券股份有限公司,,安徽天禾律师事务所,,华普天健会计师事务所(特殊普通合伙),,是,,2019/4/18,80138809,AN201909101353442490,ahsjtjs,https://notice.eastmoney.com/pdffile/web/H2_AN201909101353442490_1.pdf
安徽芯瑞达科技,已反馈,中小板,,东海证券股份有限公司,,安徽承义律师事务所,,华普天健会计师事务所(特殊普通合伙),,否,,2019/4/18,80958310,AN202004141378000853,ahxrdkj,https://notice.eastmoney.com/pdffile/web/H2_AN202004141378000853_1.pdf
安徽扬子地板,预先披露更新,中小板,,国元证券股份有限公司,,北京金诚同达律师事务所,,华普天健会计师事务所(特殊普通合伙),,是,,2019/4/18,80203593,AN201712221069467023,ahyzdb,https://notice.eastmoney.com/pdffile/web/H2_AN201712221069467023_1.pdf
爱玛科技集团,已反馈,主板企业,,中信证券股份有限公司,,北京海润天睿律师事务所,,安永华明会计师事务所(特殊普通合伙),,是,,2019/4/18,80922526,AN201909051349082580,amkjjt,https://notice.eastmoney.com/pdffile/web/H2_AN201909051349082580_1.pdf
奥普家居,预先披露更新,主板企业,,招商证券股份有限公司,,上海市方达律师事务所,,天健会计师事务所(特殊普通合伙),,是,,2019/4/18,80703659,AN201912311373100120,apjj,https://notice.eastmoney.com/pdffile/web/H2_AN201912311373100120_1.pdf
北大青鸟环宇消防设备,已通过发审会,中小板,,广发证券股份有限公司,,北京市中咨律师事务所,,瑞华会计师事务所(特殊普通合伙),,是,,2019/4/18,80069208,AN201907281341526272,bdqnhyxfsb,https://notice.eastmoney.com/pdffile/web/H2_AN201907281341526272_1.pdf
八方电气(苏州),预先披露更新,主板企业,,申万宏源证券承销保荐有限责任公司,,国浩律师(上海)事务所,,华普天健会计师事务所(特殊普通合伙),,是,,2019/4/18,80922529,AN201910071368140489,bfdqsz,https://notice.eastmoney.com/pdffile/web/H2_AN201910071368140489_1.pdf
北京北摩高科摩擦材料,已反馈,中小板,,长江证券承销保荐有限公司,,陕西标典律师事务所,,立信会计师事务所(特殊普通合伙),,否,,2019/4/18,80117260,AN202004141378000858,bjbmgkmccl,https://notice.eastmoney.com/pdffile/web/H2_AN202004141378000858_1.pdf
北京国联视讯信息技术,预先披露更新,主板企业,,西部证券股份有限公司,,北京德恒律师事务所,,立信会计师事务所(特殊普通合伙),,是,,2019/4/18,80400473,AN201907171339063966,bjglsxxxjs,https://notice.eastmoney.com/pdffile/web/H2_AN201907171339063966_1.pdf
北京嘉曼服饰,预先披露更新,中小板,,华英证券有限责任公司,,北京市中伦律师事务所,,立信会计师事务所(特殊普通合伙),,是,,2019/4/18,80897656,AN202012311445940120,bjjmfs,https://notice.eastmoney.com/pdffile/web/H2_AN202012311445940120_1.pdf
北京全时天地在线网络信息,已受理,中小板,,民生证券股份有限公司,,北京观韬中茂律师事务所,,天职国际会计师事务所(特殊普通合伙),,否,,2019/4/18,80629832,AN202007191392778639,bjqstdzxwlxx,https://notice.eastmoney.com/pdffile/web/H2_AN202007191392778639_1.pdf
北京声迅电子,已受理,中小板,,西部证券股份有限公司,,北京市康达律师事务所,,北京永拓会计师事务所(特殊普通合伙),,否,,2019/4/18,80126294,AN202011151429458991,bjsxdz,https://notice.eastmoney.com/pdffile/web/H2_AN202011151429458991_1.pdf
北京维冠机电,已受理,主板企业,,平安证券股份有限公司,,上海市锦天城律师事务所,,华普天健会计师事务所,,否,,2019/4/18,80423332,AN201904121318887681,bjwgjd,https://notice.eastmoney.com/pdffile/web/H2_AN201904121318887681_1.pdf
北京万泰生物药业,已反馈,主板企业,,国金证券股份有限公司,,北京市中伦律师事务所,,瑞华会计师事务所(特殊普通合伙),,是,,2019/4/18,80146009,AN202004141377938813,bjwtswyy,https://notice.eastmoney.com/pdffile/web/H2_AN202004141377938813_1.pdf
北京元六鸿远电子科技,已通过发审会,主板企业,,国泰君安证券股份有限公司,,北京市海润律师事务所,,瑞华会计师事务所(特殊普通合伙),,是,,2019/4/18,80644488,AN201904281323783246,bjylhydzkj,https://notice.eastmoney.com/pdffile/web/H2_AN201904281323783246_1.pdf
博纳影业集团,已反馈,中小板,,华龙证券股份有限公司,,北京市通商律师事务所,,瑞华会计师事务所(特殊普通合伙),,是,,2019/4/18,80166267,,bnyyjt*,https://notice.eastmoney.com/pdffile/web/H2__1.pdf
北洋出版传媒,预先披露更新,主板企业,,中国国际金融股份有限公司,,北京市海问律师事务所,,瑞华会计师事务所(特殊普通合伙),,是,,2019/4/18,80366787,AN201710130950643406,bycbcm,https://notice.eastmoney.com/pdffile/web/H2_AN201710130950643406_1.pdf
亳州药都农村商业银行,预先披露更新,主板企业,,华泰联合证券有限责任公司,,北京德恒律师事务所,,瑞华会计师事务所(特殊普通合伙),,是,,2019/4/18,80147421,AN201810091209841424,bzydncsyyx,https://notice.eastmoney.com/pdffile/web/H2_AN201810091209841424_1.pdf
成都燃气集团,预先披露更新,主板企业,,中信建投证券股份有限公司,,北京金诚同达律师事务所,,德勤华永会计师事务所(特殊普通合伙),,是,,2019/4/18,80130300,AN201912021371304381,cdrqjt*,https://notice.eastmoney.com/pdffile/web/H2_AN201912021371304381_1.pdf
成都天箭科技,预先披露更新,中小板,,中信建投证券股份有限公司,,北京市中伦律师事务所,,立信中联会计师事务所(特殊普通合伙),,是,,2019/4/18,80959937,AN202003021375748880,cdtjkj*,https://notice.eastmoney.com/pdffile/web/H2_AN202003021375748880_1.pdf
常州市凯迪电器,已反馈,主板企业,,中信建投证券股份有限公司,,浙江天册律师事务所,,天健会计师事务所(特殊普通合伙),,否,,2019/4/18,80975289,AN202005171379856182,czskddq,https://notice.eastmoney.com/pdffile/web/H2_AN202005171379856182_1.pdf
东莞市奥海科技,已受理,中小板,,国金证券股份有限公司,,广东信达律师事务所,,瑞华会计师事务所(特殊普通合伙),,否,,2019/4/18,80989214,AN202007301395378126,dgsahkj,https://notice.eastmoney.com/pdffile/web/H2_AN202007301395378126_1.pdf
东莞银行,已受理,中小板,,招商证券股份有限公司,,江苏世纪同仁律师事务所,,毕马威华振会计师事务所(特殊普通合伙),,否,,2019/4/18,80058609,AN201911061370459950,dgyx,https://notice.eastmoney.com/pdffile/web/H2_AN201911061370459950_1.pdf
东莞证券,预先披露更新,中小板,,东方花旗证券有限公司,,国浩律师(北京)事务所,,中审众环会计师事务所(特殊普通合伙),,是,,2019/4/18,80000081,AN201701110259653115,dgzq,https://notice.eastmoney.com/pdffile/web/H2_AN201701110259653115_1.pdf
大连万达商业地产,已反馈,主板企业,,中国银河证券股份有限公司&sbquo;中国国际金融股份有限公司,,北京市天元律师事务所,,大华会计师事务所(特殊普通合伙),,是,,2019/4/18,80161192,AN201511130011407869,dlwdsydc,https://notice.eastmoney.com/pdffile/web/H2_AN201511130011407869_1.pdf
福州瑞芯微电子,已反馈,主板企业,,兴业证券股份有限公司,,北京国枫律师事务所,,天健会计师事务所(特殊普通合伙),,是,,2019/4/18,80511080,AN202001171374268772,fzrxwdz,https://notice.eastmoney.com/pdffile/web/H2_AN202001171374268772_1.pdf
