序号,交易所,发行人全称,审核状态,注册地,行业,保荐机构,会计师事务所,律师事务所,更新日期,受理日期
585,上海证券交易所,杭州品茗安控信息技术股份有限公司,提交注册,浙江,软件和信息技术服务业,长江证券承销保荐有限公司,天职国际会计师事务所（特殊普通合伙）,国浩律师（北京）事务所,2020/12/2,2020/5/12
586,上海证券交易所,杭州国泰环保科技股份有限公司,已受理,浙江,生态保护和环境治理业,国信证券股份有限公司,天健会计师事务所（特殊普通合伙）,浙江天册律师事务所,2020/12/31,2020/12/31
587,深圳证券交易所,杭州大地海洋环保股份有限公司,已问询,浙江,废弃资源综合利用业,国金证券股份有限公司,立信会计师事务所（特殊普通合伙）,上海市锦天城律师事务所,2021/1/5,2020/7/6
588,深圳证券交易所,杭州天元宠物用品股份有限公司,已问询,浙江,文教、工美、体育和娱乐用品制造业,中信证券股份有限公司,天健会计师事务所（特殊普通合伙）,北京市康达律师事务所,2020/12/23,2020/7/14
589,上海证券交易所,杭州奥泰生物技术股份有限公司,提交注册,浙江,医药制造业,申万宏源证券承销保荐有限责任公司,致同会计师事务所（特殊普通合伙）,北京市通商律师事务所,2020/12/16,2020/5/28
590,上海证券交易所,杭州安恒信息技术股份有限公司,注册生效,浙江,软件和信息技术服务业,国泰君安证券股份有限公司,立信会计师事务所（特殊普通合伙）,国浩律师（杭州）事务所,2019/10/16,2019/4/9
591,上海证券交易所,杭州安旭生物科技股份有限公司,提交注册,浙江,医药制造业,民生证券股份有限公司,信永中和会计师事务所（特殊普通合伙）,上海市锦天城律师事务所,2020/12/30,2020/6/2
592,上海证券交易所,杭州安杰思医学科技股份有限公司,提交注册,浙江,专用设备制造业,中信证券股份有限公司,天健会计师事务所（特殊普通合伙）,北京德恒律师事务所,2021/1/6,2020/4/16
593,上海证券交易所,杭州宏华数码科技股份有限公司,上市委会议,浙江,专用设备制造业,浙商证券股份有限公司,天健会计师事务所（特殊普通合伙）,国浩律师（杭州）事务所,2020/11/25,2020/6/15
594,深圳证券交易所,杭州山科智能科技股份有限公司,注册生效,浙江,仪器仪表制造业,海通证券股份有限公司,中汇会计师事务所（特殊普通合伙）,上海市广发律师事务所,2020/9/9,2020/6/24
595,深圳证券交易所,杭州屹通新材料股份有限公司,注册生效,浙江,废弃资源综合利用业,中信证券股份有限公司,天健会计师事务所（特殊普通合伙）,上海市锦天城律师事务所,2020/12/16,2020/6/30
596,上海证券交易所,杭州当虹科技股份有限公司,注册生效,浙江,软件和信息技术服务业,中信证券股份有限公司,天健会计师事务所（特殊普通合伙）,浙江天册律师事务所,2019/11/15,2019/3/29
597,深圳证券交易所,杭州星华反光材料股份有限公司,已问询,浙江,化学原料和化学制品制造业,平安证券股份有限公司,中汇会计师事务所（特殊普通合伙）,国浩律师（杭州）事务所,2021/1/5,2020/7/6
598,上海证券交易所,杭州柯林电气股份有限公司,提交注册,浙江,电气机械和器材制造业,浙商证券股份有限公司,天健会计师事务所（特殊普通合伙）,北京市大成律师事务所,2021/1/15,2020/6/19
599,深圳证券交易所,杭州正强传动股份有限公司,已问询,浙江,汽车制造业,国金证券股份有限公司,天健会计师事务所（特殊普通合伙）,上海市锦天城律师事务所,2020/12/9,2020/7/17
600,深圳证券交易所,杭州潜阳科技股份有限公司,已问询,浙江,化学原料和化学制品制造业,民生证券股份有限公司,中审众环会计师事务所（特殊普通合伙）,浙江浙经律师事务所,2021/1/8,2020/12/11
601,上海证券交易所,杭州爱科科技股份有限公司,注册生效,浙江,专用设备制造业,海通证券股份有限公司,立信会计师事务所（特殊普通合伙）,上海市锦天城律师事务所,2021/1/19,2020/4/27
602,上海证券交易所,杭州百子尖科技股份有限公司,已受理,浙江,专用设备制造业,中银国际证券股份有限公司,安永华明会计师事务所（特殊普通合伙）,北京市金杜律师事务所,2020/12/24,2020/12/24
603,深圳证券交易所,杭州百诚医药科技股份有限公司,已问询,浙江,研究和试验发展,国金证券股份有限公司,天健会计师事务所（特殊普通合伙）,北京海润天睿律师事务所,2020/12/12,2020/11/17
604,上海证券交易所,杭州禾迈电力电子股份有限公司,已受理,浙江,电气机械和器材制造业,中信证券股份有限公司,天健会计师事务所（特殊普通合伙）,浙江天册律师事务所,2020/12/30,2020/12/30
605,上海证券交易所,杭州美迪凯光电科技股份有限公司,注册生效,浙江,计算机、通信和其他电子设备制造业,中信证券股份有限公司,天健会计师事务所（特殊普通合伙）,国浩律师（上海）事务所,2021/1/19,2020/5/12
606,深圳证券交易所,杭州老鹰教育科技股份有限公司,已问询,浙江,教育,申万宏源证券承销保荐有限责任公司,中汇会计师事务所（特殊普通合伙）,浙江天册律师事务所,2021/1/6,2020/7/6
607,上海证券交易所,杭州西力智能科技股份有限公司,提交注册,浙江,仪器仪表制造业,国金证券股份有限公司,天健会计师事务所（特殊普通合伙）,国浩律师（上海）事务所,2021/1/15,2020/5/22
608,上海证券交易所,杭州鸿泉物联网技术股份有限公司,注册生效,浙江,计算机、通信和其他电子设备制造业,东方花旗证券有限公司,天健会计师事务所（特殊普通合伙）,北京德恒律师事务所,2019/10/16,2019/3/28
609,深圳证券交易所,杰创智能科技股份有限公司,已问询,广东,软件和信息技术服务业,国泰君安证券股份有限公司,中审众环会计师事务所（特殊普通合伙）,北京德恒律师事务所,2020/12/31,2020/12/3
610,深圳证券交易所,果麦文化传媒股份有限公司,上市委会议通过,浙江,新闻和出版业,中原证券股份有限公司,大华会计师事务所（特殊普通合伙）,上海澄明则正律师事务所,2020/12/7,2020/7/3
611,上海证券交易所,株洲中车时代电气股份有限公司,已受理,湖南,铁路、船舶、航空航天和其他运输设备制造业,中国国际金融股份有限公司,德勤华永会计师事务所（特殊普通合伙）,国浩律师（杭州）事务所,2020/12/30,2020/12/30
612,上海证券交易所,株洲华锐精密工具股份有限公司,注册生效,湖南,金属制品业,招商证券股份有限公司,天职国际会计师事务所（特殊普通合伙）,湖南启元律师事务所,2021/1/13,2020/6/24
613,上海证券交易所,株洲欧科亿数控精密刀具股份有限公司,注册生效,湖南,金属制品业,民生证券股份有限公司,中天运会计师事务所（特殊普通合伙）,广东竞德律师事务所,2020/11/11,2020/4/17
614,深圳证券交易所,格林生物科技股份有限公司,已问询,浙江,化学原料和化学制品制造业,财通证券股份有限公司,中汇会计师事务所（特殊普通合伙）,北京市高朋律师事务所,2021/1/18,2020/12/18
615,上海证券交易所,格科微有限公司,上市委会议,境外,计算机、通信和其他电子设备制造业,中国国际金融股份有限公司,普华永道中天会计师事务所（特殊普通合伙）,北京市中伦律师事务所,2020/11/6,2020/7/7
616,上海证券交易所,桂林智神信息技术股份有限公司,终止,广西,计算机、通信和其他电子设备制造业,安信证券股份有限公司,天健会计师事务所（特殊普通合伙）,广东华商律师事务所,2020/9/1,2020/5/26
617,上海证券交易所,森泰英格（成都）数控刀具股份有限公司,已问询,四川,金属制品业,东莞证券股份有限公司,大信会计师事务所（特殊普通合伙）,北京市盈科律师事务所,2020/12/1,2020/11/3
618,深圳证券交易所,森赫电梯股份有限公司,已问询,浙江,通用设备制造业,东吴证券股份有限公司,立信会计师事务所（特殊普通合伙）,上海市广发律师事务所,2021/1/13,2020/7/17
619,深圳证券交易所,欢乐家食品集团股份有限公司,上市委会议通过,广东,酒、饮料和精制茶制造业,中信证券股份有限公司,致同会计师事务所（特殊普通合伙）,福建天衡联合律师事务所,2020/11/13,2020/6/28
